PRDM16	ENSG00000142611
PEX10	ENSG00000157911
RPL21P21	ENSG00000224340
EEF1DP6	ENSG00000229280
PEX14	ENSG00000142655
LINC01646	ENSG00000232596
LINC02782	ENSG00000231510
PLCH2	ENSG00000149527
SPSB1	ENSG00000171621
SLC2A5	ENSG00000142583
LINC02781	ENSG00000284674
MTCYBP45	ENSG00000224338
NMNAT1	ENSG00000173614
MFFP1	ENSG00000215720
PGAM1P11	ENSG00000233623
DISP3	ENSG00000204624
MMEL1	ENSG00000142606
TMEM51	ENSG00000171729
RER1	ENSG00000157916
PANK4	ENSG00000157881
VPS13D	ENSG00000048707
RPL10P17	ENSG00000225196
RBP7	ENSG00000162444
GPR157	ENSG00000180758
ZBTB40	ENSG00000184677
NPHP4	ENSG00000131697
HES5	ENSG00000197921
PPIAP34	ENSG00000234397
PHACTR4	ENSG00000204138
IFITM3P7	ENSG00000233419
SLC9A1	ENSG00000090020
PAFAH2	ENSG00000158006
AJAP1	ENSG00000196581
PTAFR	ENSG00000169403
SLC25A33	ENSG00000171612
GJB3	ENSG00000188910
LINC01756	ENSG00000230523
KAZN	ENSG00000189337
TNFRSF1B	ENSG00000028137
UBE4B	ENSG00000130939
TMEM51-AS1	ENSG00000175147
PLA2G5	ENSG00000127472
PTPRU	ENSG00000060656
FTLP18	ENSG00000230214
GJB5	ENSG00000189280
AGO4	ENSG00000134698
ZBTB8B	ENSG00000273274
LINC02810	ENSG00000236648
FTH1P1	ENSG00000232273
CASZ1	ENSG00000130940
DNALI1	ENSG00000163879
RRAGC	ENSG00000116954
GRIK3	ENSG00000163873
PLA2G2D	ENSG00000117215
HNRNPFP1	ENSG00000227538
GUCA2B	ENSG00000044012
RCC2	ENSG00000179051
HSPA5P1	ENSG00000215895
PSMB2	ENSG00000126067
RPS29P6	ENSG00000230451
RPS27P9	ENSG00000237749
PADI6	ENSG00000276747
PADI4	ENSG00000159339
LINC01654	ENSG00000261781
RHBDL2	ENSG00000158315
CFAP144	ENSG00000186973
